Breakout-04
      Date,      Time,   Battery,  Fix,       Latitude,      Longitude,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env
   21/3/22,  16:46:28,  4.026250,    0,       0.000000,       0.000000,        78,        23,         6,         6,         6,         3,         0,         0,         4,         0,         0,         4
   21/3/22,  16:46:48,  4.028750,    0,       0.000000,       0.000000,        27,         9,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,   16:47:8,  4.030000,    0,       0.000000,       0.000000,       135,        38,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,  16:47:28,  4.028750,    0,       0.000000,       0.000000,       180,        53,        11,         0,         0,         0,         0,         1,         1,         0,         1,         1
   21/3/22,  16:47:48,  4.026250,    0,       0.000000,       0.000000,       219,        58,         3,         3,         3,         0,         1,         1,         2,         1,         1,         2
   21/3/22,   16:48:8,  4.026250,    0,       0.000000,       0.000000,        30,        10,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,  16:48:28,  4.028750,    0,       0.000000,       0.000000,        27,         9,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,  16:48:48,  4.028750,    0,       0.000000,       0.000000,        18,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,   16:49:8,  4.028750,    0,       0.000000,       0.000000,        51,        13,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,  16:49:28,  4.028750,    0,       0.000000,       0.000000,        57,        16,         6,         3,         3,         3,         0,         0,         1,         0,         0,         1
   21/3/22,  16:49:48,  4.026250,    0,       0.000000,       0.000000,        63,        18,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,   16:50:8,  4.023750,    0,       0.000000,       0.000000,       120,        40,         7,         0,         0,         0,         0,         1,         1,         0,         1,         1
   21/3/22,  16:50:28,  4.025000,    0,       0.000000,       0.000000,       627,       168,        20,         3,         0,         0,         3,         5,         5,         3,         5,         5
   21/3/22,  16:50:48,  4.026250,    0,       0.000000,       0.000000,       186,        58,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,   16:51:8,  4.023750,    0,       0.000000,       0.000000,        54,        10,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,  16:51:28,  4.023750,    0,       0.000000,       0.000000,         9,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,  16:51:48,  4.026250,    0,       0.000000,       0.000000,        54,        14,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,   16:52:8,  4.026250,    0,       0.000000,       0.000000,        21,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,  16:52:28,  4.026250,    0,       0.000000,       0.000000,       186,        47,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,  16:52:48,  4.026250,    0,       0.000000,       0.000000,         9,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,   16:53:8,  4.022500,    0,       0.000000,       0.000000,        27,         9,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,  16:53:28,  4.021250,    0,       0.000000,       0.000000,         9,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,  16:53:48,  4.025000,    0,       0.000000,       0.000000,        54,        14,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,   16:54:8,  4.026250,    0,       0.000000,       0.000000,         9,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,  16:54:28,  4.023750,    0,       0.000000,       0.000000,        39,         9,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,  16:54:48,  4.021250,    0,       0.000000,       0.000000,        39,         9,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,   16:55:8,  4.021250,    0,       0.000000,       0.000000,        45,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,  16:55:28,  4.023750,    0,       0.000000,       0.000000,       612,       109,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1
   21/3/22,  16:55:48,  4.023750,    0,       0.000000,       0.000000,       696,       137,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1
   21/3/22,   16:56:8,  4.023750,    0,       0.000000,       0.000000,       717,       150,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1
   21/3/22,  16:56:28,  4.023750,    0,       0.000000,       0.000000,       624,       151,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1
   21/3/22,  16:56:48,  4.022500,    0,       0.000000,       0.000000,       582,       160,         3,         3,         3,         3,         1,         1,         3,         1,         1,         3
   21/3/22,   16:57:8,  4.023750,    0,       0.000000,       0.000000,       453,       122,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,  16:57:28,  4.023750,    0,       0.000000,       0.000000,       510,       114,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1
   21/3/22,  16:57:48,  4.023750,    0,       0.000000,       0.000000,       420,       103,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,   16:58:8,  4.021250,    0,       0.000000,       0.000000,       522,       107,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,  16:58:28,  4.018750,    0,       0.000000,       0.000000,       405,       103,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1
   21/3/22,  16:58:48,  4.020000,    0,       0.000000,       0.000000,       585,       143,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,   16:59:8,  4.021250,    0,       0.000000,       0.000000,       453,       110,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1
   21/3/22,  16:59:28,  4.021250,    0,       0.000000,       0.000000,       441,       110,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,  16:59:48,  4.018750,    0,       0.000000,       0.000000,       387,       106,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,    17:0:8,  4.016250,    0,       0.000000,       0.000000,       336,        74,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,   17:0:28,  4.020000,    0,       0.000000,       0.000000,       219,        55,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,   17:0:48,  4.021250,    0,       0.000000,       0.000000,       183,        58,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,    17:1:8,  4.020000,    0,       0.000000,       0.000000,       165,        43,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,   17:1:28,  4.021250,    0,       0.000000,       0.000000,       156,        44,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,   17:1:48,  4.018750,    0,       0.000000,       0.000000,       129,        36,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,    17:2:8,  4.016250,    0,       0.000000,       0.000000,       165,        40,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,   17:2:28,  4.017500,    0,       0.000000,       0.000000,        96,        25,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,   17:2:48,  4.018750,    0,       0.000000,       0.000000,        99,        26,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,    17:3:8,  4.018750,    0,       0.000000,       0.000000,       165,        44,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,   17:3:28,  4.016250,    0,       0.000000,       0.000000,        54,        12,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,   17:3:48,  4.015000,    0,       0.000000,       0.000000,        48,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
