S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance
3973,10,9,27810.33333,2630,31,12,91,5,3,19,8.666666667,6,26,3,13,0,3,1925.166666,52047396.36
3849.2,13.7,822.1,27041.26667,2674.5,408.8,13.2,90.8,4.5,3.7,17.1,8.9,6,25.4,2.7,12,0,4.7,1944.364815,51691942.69
3725.4,17.4,1635.2,26272.2,2719,786.6,14.4,90.6,4,4.4,15.2,9.133333333,6,24.8,2.4,11,0,6.4,1963.562963,51336489.02
3601.6,21.1,2448.3,25503.13333,2763.5,1164.4,15.6,90.4,3.5,5.1,13.3,9.366666667,6,24.2,2.1,10,0,8.1,1982.761111,50981035.36
3477.8,24.8,3261.4,24734.06667,2808,1542.2,16.8,90.2,3,5.8,11.4,9.6,6,23.6,1.8,9,0,9.8,2001.959259,50625581.69
3354,28.5,4074.5,23965,2852.5,1920,18,90,2.5,6.5,9.5,9.833333333,6,23,1.5,8,0,11.5,2021.157407,50270128.02
3230.2,32.2,4887.6,23195.93333,2897,2297.8,19.2,89.8,2,7.2,7.6,10.06666667,6,22.4,1.2,7,0,13.2,2040.355555,49914674.35
3106.4,35.9,5700.7,22426.86667,2941.5,2675.6,20.4,89.6,1.5,7.9,5.7,10.3,6,21.8,0.9,6,0,14.9,2059.553704,49559220.68
2982.6,39.6,6513.8,21657.8,2986,3053.4,21.6,89.4,1,8.6,3.8,10.53333333,6,21.2,0.6,5,0,16.6,2078.751852,49203767.01
2858.8,43.3,7326.9,20888.73333,3030.5,3431.2,22.8,89.2,0.5,9.3,1.9,10.76666667,6,20.6,0.3,4,0,18.3,2097.95,48848313.34
2735,47,8140,20119.66667,3075,3809,24,89,0,10,0,11,6,20,0,3,0,20,2117.148148,48492859.67
2665,45.9,7501.5,19391.86667,3089.3,3648.3,25.33333333,98.7,0.133333333,12.2,0.6,21,6.9,20.13333333,0,4.6,0,20.7,2030.675926,45206422.37
2595,44.8,6863,18664.06667,3103.6,3487.6,26.66666667,108.4,0.266666667,14.4,1.2,31,7.8,20.26666667,0,6.2,0,21.4,1944.203704,41919985.07
2525,43.7,6224.5,17936.26667,3117.9,3326.9,28,118.1,0.4,16.6,1.8,41,8.7,20.4,0,7.8,0,22.1,1857.731482,38633547.76
2455,42.6,5586,17208.46667,3132.2,3166.2,29.33333333,127.8,0.533333333,18.8,2.4,51,9.6,20.53333333,0,9.4,0,22.8,1771.259259,35347110.46
2385,41.5,4947.5,16480.66667,3146.5,3005.5,30.66666667,137.5,0.666666667,21,3,61,10.5,20.66666667,0,11,0,23.5,1684.787037,32060673.15
2315,40.4,4309,15752.86667,3160.8,2844.8,32,147.2,0.8,23.2,3.6,71,11.4,20.8,0,12.6,0,24.2,1598.314815,28774235.85
2245,39.3,3670.5,15025.06667,3175.1,2684.1,33.33333333,156.9,0.933333333,25.4,4.2,81,12.3,20.93333333,0,14.2,0,24.9,1511.842593,25487798.54
2175,38.2,3032,14297.26667,3189.4,2523.4,34.66666667,166.6,1.066666667,27.6,4.8,91,13.2,21.06666667,0,15.8,0,25.6,1425.370371,22201361.24
2105,37.1,2393.5,13569.46667,3203.7,2362.7,36,176.3,1.2,29.8,5.4,101,14.1,21.2,0,17.4,0,26.3,1338.898148,18914923.94
2035,36,1755,12841.66667,3218,2202,37.33333333,186,1.333333333,32,6,111,15,21.33333333,0,19,0,27,1252.425926,15628486.63
2566.5,37.8,1599.2,12571.66667,3049,2767.2,43.1,192.3333333,4.833333333,33.43333333,6,121.1,18.3,22.7,0.3,18,0,24.6,1282.003704,15717160.32
3098,39.6,1443.4,12301.66667,2880,3332.4,48.86666667,198.6666667,8.333333333,34.86666667,6,131.2,21.6,24.06666667,0.6,17,0,22.2,1311.581482,15805834
3629.5,41.4,1287.6,12031.66667,2711,3897.6,54.63333333,205,11.83333333,36.3,6,141.3,24.9,25.43333333,0.9,16,0,19.8,1341.159259,15894507.69
4161,43.2,1131.8,11761.66667,2542,4462.8,60.4,211.3333333,15.33333333,37.73333333,6,151.4,28.2,26.8,1.2,15,0,17.4,1370.737037,15983181.37
4692.5,45,976,11491.66667,2373,5028,66.16666667,217.6666667,18.83333333,39.16666667,6,161.5,31.5,28.16666667,1.5,14,0,15,1400.314815,16071855.06
5224,46.8,820.2,11221.66667,2204,5593.2,71.93333333,224,22.33333333,40.6,6,171.6,34.8,29.53333333,1.8,13,0,12.6,1429.892593,16160528.74
5755.5,48.6,664.4,10951.66667,2035,6158.4,77.7,230.3333333,25.83333333,42.03333333,6,181.7,38.1,30.9,2.1,12,0,10.2,1459.470371,16249202.43
6287,50.4,508.6,10681.66667,1866,6723.6,83.46666667,236.6666667,29.33333333,43.46666667,6,191.8,41.4,32.26666667,2.4,11,0,7.8,1489.048148,16337876.11
6818.5,52.2,352.8,10411.66667,1697,7288.8,89.23333333,243,32.83333333,44.9,6,201.9,44.7,33.63333333,2.7,10,0,5.4,1518.625926,16426549.8
7350,54,197,10141.66667,1528,7854,95,249.3333333,36.33333333,46.33333333,6,212,48,35,3,9,0,3,1548.203704,16515223.48
7551.6,54.7,196.3,10051.2,2184.4,7844,113.1666667,251.6,37,50.76666667,15.53333333,224.3333333,46.3,32.8,2.7,8.1,0,2.7,1592.622222,17672717.82
7753.2,55.4,195.6,9960.733333,2840.8,7834,131.3333333,253.8666667,37.66666667,55.2,25.06666667,236.6666667,44.6,30.6,2.4,7.2,0,2.4,1637.040741,18830212.15
