S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance
2065.9,120.1,2245.2,41879.26667,448.7,11.2,12.6,10.2,9.1,8.7,3,56.4,29.7,9.8,2.1,8.7,0,1.8,2606.803704,120604417.8
2210.6,120.4,2563.8,41397.06667,445.8,12.8,11.4,10.8,8.066666667,7.8,3,54.6,27.8,11.2,2.4,7.8,0,1.2,2605.362963,118533569.2
2355.3,120.7,2882.4,40914.86667,442.9,14.4,10.2,11.4,7.033333333,6.9,3,52.8,25.9,12.6,2.7,6.9,0,0.6,2603.922222,116462720.5
2500,121,3201,40432.66667,440,16,9,12,6,6,3,51,24,14,3,6,0,0,2602.481482,114391871.9
2389.8,115.1,3197.3,40094.06667,413.5,422.9,9.9,13.4,6.733333333,5.533333333,3.133333333,49.2,22.5,14.7,3,6.4,0,0,2598.175926,112936345.7
2279.6,109.2,3193.6,39755.46667,387,829.8,10.8,14.8,7.466666667,5.066666667,3.266666667,47.4,21,15.4,3,6.8,0,0,2593.870371,111480819.4
2169.4,103.3,3189.9,39416.86667,360.5,1236.7,11.7,16.2,8.2,4.6,3.4,45.6,19.5,16.1,3,7.2,0,0,2589.564815,110025293.2
2059.2,97.4,3186.2,39078.26667,334,1643.6,12.6,17.6,8.933333333,4.133333333,3.533333333,43.8,18,16.8,3,7.6,0,0,2585.259259,108569767
1949,91.5,3182.5,38739.66667,307.5,2050.5,13.5,19,9.666666667,3.666666667,3.666666667,42,16.5,17.5,3,8,0,0,2580.953704,107114240.8
1838.8,85.6,3178.8,38401.06667,281,2457.4,14.4,20.4,10.4,3.2,3.8,40.2,15,18.2,3,8.4,0,0,2576.648148,105658714.6
1728.6,79.7,3175.1,38062.46667,254.5,2864.3,15.3,21.8,11.13333333,2.733333333,3.933333333,38.4,13.5,18.9,3,8.8,0,0,2572.342593,104203188.4
1618.4,73.8,3171.4,37723.86667,228,3271.2,16.2,23.2,11.86666667,2.266666667,4.066666667,36.6,12,19.6,3,9.2,0,0,2568.037037,102747662.2
1508.2,67.9,3167.7,37385.26667,201.5,3678.1,17.1,24.6,12.6,1.8,4.2,34.8,10.5,20.3,3,9.6,0,0,2563.731482,101292135.9
1398,62,3164,37046.66667,175,4085,18,26,13.33333333,1.333333333,4.333333333,33,9,21,3,10,0,0,2559.425926,99836609.72
1527.6,66.2,3625,38147.4,166.5,3832.6,31.23333333,27,13.93333333,2.5,5.9,44.8,9,21.2,2.7,10,0,0.3,2640.77037,106111891.8
1657.2,70.4,4086,39248.13333,158,3580.2,44.46666667,28,14.53333333,3.666666667,7.466666667,56.6,9,21.4,2.4,10,0,0.6,2722.114815,112387173.9
1786.8,74.6,4547,40348.86667,149.5,3327.8,57.7,29,15.13333333,4.833333333,9.033333333,68.4,9,21.6,2.1,10,0,0.9,2803.459259,118662456
1916.4,78.8,5008,41449.6,141,3075.4,70.93333333,30,15.73333333,6,10.6,80.2,9,21.8,1.8,10,0,1.2,2884.803704,124937738.1
2046,83,5469,42550.33333,132.5,2823,84.16666667,31,16.33333333,7.166666667,12.16666667,92,9,22,1.5,10,0,1.5,2966.148148,131213020.1
2175.6,87.2,5930,43651.06667,124,2570.6,97.4,32,16.93333333,8.333333333,13.73333333,103.8,9,22.2,1.2,10,0,1.8,3047.492593,137488302.2
2305.2,91.4,6391,44751.8,115.5,2318.2,110.6333333,33,17.53333333,9.5,15.3,115.6,9,22.4,0.9,10,0,2.1,3128.837037,143763584.3
2434.8,95.6,6852,45852.53333,107,2065.8,123.8666667,34,18.13333333,10.66666667,16.86666667,127.4,9,22.6,0.6,10,0,2.4,3210.181481,150038866.4
2564.4,99.8,7313,46953.26667,98.5,1813.4,137.1,35,18.73333333,11.83333333,18.43333333,139.2,9,22.8,0.3,10,0,2.7,3291.525926,156314148.5
