S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
69.0,0.0,48.0,33.0,0.0,21.0,18.0,9.0,34.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,18.0,19.23076923076923,436.3313609467456,14.6,19.5,24.75,4.5
63.0,0.0,48.0,33.0,3.9,18.9,16.2,9.0,30.6,0.0,2.1,18.0,3.6,0.0,0.0,0.9,18.0,18.946153846153845,420.7526627218935,15.0,18.525,24.3,4.725
57.0,0.0,48.0,33.0,7.8,16.8,14.4,9.0,27.2,0.0,4.2,18.0,7.2,0.0,0.0,1.8,18.0,18.66153846153846,405.1739644970414,15.4,17.55,23.85,4.95
51.0,0.0,48.0,33.0,11.7,14.7,12.6,9.0,23.8,0.0,6.300000000000001,18.0,10.8,0.0,0.0,2.7,18.0,18.376923076923077,389.59526627218935,15.8,16.575,23.4,5.175
45.0,0.0,48.0,33.0,15.6,12.6,10.8,9.0,20.4,0.0,8.4,18.0,14.4,0.0,0.0,3.6,18.0,18.092307692307692,374.0165680473373,16.2,15.6,22.95,5.4
39.0,0.0,48.0,33.0,19.5,10.5,9.0,9.0,17.0,0.0,10.5,18.0,18.0,0.0,0.0,4.5,18.0,17.807692307692307,358.43786982248525,16.6,14.625,22.5,5.625
33.0,0.0,48.0,33.0,23.4,8.399999999999999,7.199999999999999,9.0,13.600000000000001,0.0,12.600000000000001,18.0,21.6,0.0,0.0,5.4,18.0,17.52307692307692,342.8591715976331,17.0,13.65,22.05,5.85
27.0,0.0,48.0,33.0,27.3,6.299999999999999,5.4,9.0,10.2,0.0,14.700000000000001,18.0,25.2,0.0,0.0,6.3,18.0,17.238461538461536,327.2804733727811,17.400000000000002,12.675,21.6,6.075
21.0,0.0,48.0,33.0,31.2,4.199999999999999,3.5999999999999996,9.0,6.800000000000001,0.0,16.8,18.0,28.8,0.0,0.0,7.2,18.0,16.953846153846154,311.701775147929,17.8,11.7,21.15,6.3
15.0,0.0,48.0,33.0,35.1,2.099999999999998,1.8000000000000007,9.0,3.400000000000002,0.0,18.900000000000002,18.0,32.4,0.0,0.0,8.1,18.0,16.66923076923077,296.12307692307695,18.200000000000003,10.725,20.7,6.525
9.0,0.0,48.0,33.0,39.0,0.0,0.0,9.0,0.0,0.0,21.0,18.0,36.0,0.0,0.0,9.0,18.0,16.384615384615383,280.5443786982249,18.6,9.75,20.25,6.75
8.1,0.0,43.2,39.0,39.0,26.4,0.0,9.4,0.0,0.0,23.1,18.0,36.0,0.9,0.0,18.6,16.2,18.63076923076923,743.2721893491125,23.880000000000003,10.15,20.55,8.925
7.2,0.0,38.4,45.0,39.0,52.8,0.0,9.8,0.0,0.0,25.2,18.0,36.0,1.8,0.0,28.2,14.4,20.876923076923077,1206.0000000000002,29.160000000000004,10.55,20.85,11.1
6.3,0.0,33.6,51.0,39.0,79.19999999999999,0.0,10.2,0.0,0.0,27.3,18.0,36.0,2.7,0.0,37.8,12.6,23.123076923076923,1668.7278106508877,34.44,10.95,21.15,13.274999999999999
5.4,0.0,28.8,57.0,39.0,105.6,0.0,10.6,0.0,0.0,29.4,18.0,36.0,3.6,0.0,47.4,10.8,25.369230769230768,2131.4556213017754,39.72,11.35,21.45,15.45
4.5,0.0,24.0,63.0,39.0,132.0,0.0,11.0,0.0,0.0,31.5,18.0,36.0,4.5,0.0,57.0,9.0,27.615384615384613,2594.1834319526633,45.0,11.75,21.75,17.625
3.5999999999999996,0.0,19.200000000000003,69.0,39.0,158.39999999999998,0.0,11.4,0.0,0.0,33.6,18.0,36.0,5.4,0.0,66.6,7.199999999999999,29.86153846153846,3056.911242603551,50.28,12.15,22.05,19.799999999999997
2.7,0.0,14.399999999999999,75.0,39.0,184.79999999999998,0.0,11.8,0.0,0.0,35.7,18.0,36.0,6.3,0.0,76.2,5.4,32.107692307692304,3519.6390532544387,55.56,12.55,22.35,21.974999999999998
1.7999999999999998,0.0,9.600000000000001,81.0,39.0,211.2,0.0,12.2,0.0,0.0,37.8,18.0,36.0,7.2,0.0,85.8,3.5999999999999996,34.35384615384615,3982.366863905326,60.84,12.95,22.65,24.15
0.9000000000000004,0.0,4.800000000000004,87.0,39.0,237.6,0.0,12.6,0.0,0.0,39.900000000000006,18.0,36.0,8.1,0.0,95.39999999999999,1.8000000000000007,36.599999999999994,4445.094674556214,66.12,13.35,22.95,26.325
0.0,0.0,0.0,93.0,39.0,264.0,0.0,13.0,0.0,0.0,42.0,18.0,36.0,9.0,0.0,105.0,0.0,38.84615384615385,4907.822485207102,71.4,13.75,23.25,28.5
3.0,0.0,0.9,89.7,35.1,310.8,0.0,13.5,10.3,11.2,40.8,20.8,43.2,8.1,0.9,105.0,0.0,44.56153846153846,7945.917159763315,84.04,17.125,22.65,28.5
6.0,0.0,1.8,86.4,31.2,357.6,0.0,14.0,20.6,22.4,39.6,23.6,50.4,7.2,1.8,105.0,0.0,50.276923076923076,10984.011834319528,96.68,20.5,22.05,28.5
9.0,0.0,2.7,83.1,27.3,404.4,0.0,14.5,30.900000000000002,33.599999999999994,38.4,26.4,57.6,6.3,2.7,105.0,0.0,55.99230769230769,14022.10650887574,109.32000000000001,23.875,21.45,28.5
12.0,0.0,3.6,79.8,23.4,451.2,0.0,15.0,41.2,44.8,37.2,29.2,64.8,5.4,3.6,105.0,0.0,61.70769230769231,17060.201183431956,121.96000000000001,27.25,20.85,28.5
15.0,0.0,4.5,76.5,19.5,498.0,0.0,15.5,51.5,56.0,36.0,32.0,72.0,4.5,4.5,105.0,0.0,67.42307692307692,20098.295857988167,134.60000000000002,30.625,20.25,28.5
18.0,0.0,5.4,73.2,15.600000000000001,544.8,0.0,16.0,61.800000000000004,67.19999999999999,34.8,34.8,79.2,3.5999999999999996,5.4,105.0,0.0,73.13846153846154,23136.390532544377,147.24,34.0,19.65,28.5
