S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Zone 3,Zone 2,Zone 4,
28.2,8.4,107.2,4,6.6,20,3.6,5.6,27,4.733333333,3.8,1.333333333,0,8.6,24,8.4,5.2,16.4,15.72592593,3023.831704,8.253333333,7.485714286,67.7,13.5,
24.4,9.8,122.4,3,7.2,21,4.2,4.2,27,5.3,3.933333333,1,0,7.2,26.5,7.8,3.9,16.3,16.3962963,3453.16563,8.34,7.447619048,73.4,13.625,
20.6,11.2,137.6,2,7.8,22,4.8,2.8,27,5.866666667,4.066666667,0.666666667,0,5.8,29,7.2,2.6,16.2,17.06666667,3882.499556,8.426666667,7.40952381,79.1,13.75,
16.8,12.6,152.8,1,8.4,23,5.4,1.4,27,6.433333333,4.2,0.333333333,0,4.4,31.5,6.6,1.3,16.1,17.73703704,4311.833481,8.513333333,7.371428571,84.8,13.875,
13,14,168,0,9,24,6,0,27,7,4.333333333,0,0,3,34,6,0,16,18.40740741,4741.167407,8.6,7.333333333,90.5,14,
12.6,13.3,192.3,0,9.3,290.6,6.433333333,2.733333333,25.63333333,6.5,4.2,0.133333333,0.9,4.3,34.3,5.4,0,15.7,34.68518518,91677.50756,62.16666667,7.6,102.45,13.85,
12.2,12.6,216.6,0,9.6,557.2,6.866666667,5.466666667,24.26666667,6,4.066666667,0.266666667,1.8,5.6,34.6,4.8,0,15.4,50.96296296,178613.8477,115.7333333,7.866666667,114.4,13.7,
11.8,11.9,240.9,0,9.9,823.8,7.3,8.2,22.9,5.5,3.933333333,0.4,2.7,6.9,34.9,4.2,0,15.1,67.24074074,265550.1879,169.3,8.133333333,126.35,13.55,
11.4,11.2,265.2,0,10.2,1090.4,7.733333333,10.93333333,21.53333333,5,3.8,0.533333333,3.6,8.2,35.2,3.6,0,14.8,83.51851852,352486.528,222.8666667,8.4,138.3,13.4,
11,10.5,289.5,0,10.5,1357,8.166666667,13.66666667,20.16666667,4.5,3.666666667,0.666666667,4.5,9.5,35.5,3,0,14.5,99.7962963,439422.8681,276.4333333,8.666666667,150.25,13.25,
10.6,9.8,313.8,0,10.8,1623.6,8.6,16.4,18.8,4,3.533333333,0.8,5.4,10.8,35.8,2.4,0,14.2,116.0740741,526359.2083,330,8.933333333,162.2,13.1,
10.2,9.1,338.1,0,11.1,1890.2,9.033333333,19.13333333,17.43333333,3.5,3.4,0.933333333,6.3,12.1,36.1,1.8,0,13.9,132.3518519,613295.5484,383.5666667,9.2,174.15,12.95,
9.8,8.4,362.4,0,11.4,2156.8,9.466666667,21.86666667,16.06666667,3,3.266666667,1.066666667,7.2,13.4,36.4,1.2,0,13.6,148.6296296,700231.8886,437.1333333,9.466666667,186.1,12.8,
9.4,7.7,386.7,0,11.7,2423.4,9.9,24.6,14.7,2.5,3.133333333,1.2,8.1,14.7,36.7,0.6,0,13.3,164.9074074,787168.2287,490.7,9.733333333,198.05,12.65,
9,7,411,0,12,2690,10.33333333,27.33333333,13.33333333,2,3,1.333333333,9,16,37,0,0,13,181.1851852,874104.5689,544.2666667,10,210,12.5,
13.6,6.6,571.5,1,12.4,3527.4,10.8,33.1,12.9,2.7,2.7,21.96666667,9.433333333,18,34.2,0.9,1,14.5,238.5944444,1679626.714,716.4933333,10.93333333,292.55,12.65,
18.2,6.2,732,2,12.8,4364.8,11.26666667,38.86666667,12.46666667,3.4,2.4,42.6,9.866666667,20,31.4,1.8,2,16,296.0037037,2485148.86,888.72,11.86666667,375.1,12.8,
22.8,5.8,892.5,3,13.2,5202.2,11.73333333,44.63333333,12.03333333,4.1,2.1,63.23333333,10.3,22,28.6,2.7,3,17.5,353.412963,3290671.005,1060.946667,12.8,457.65,12.95,
27.4,5.4,1053,4,13.6,6039.6,12.2,50.4,11.6,4.8,1.8,83.86666667,10.73333333,24,25.8,3.6,4,19,410.8222222,4096193.151,1233.173333,13.73333333,540.2,13.1,
32,5,1213.5,5,14,6877,12.66666667,56.16666667,11.16666667,5.5,1.5,104.5,11.16666667,26,23,4.5,5,20.5,468.2314815,4901715.296,1405.4,14.66666667,622.75,13.25,
36.6,4.6,1374,6,14.4,7714.4,13.13333333,61.93333333,10.73333333,6.2,1.2,125.1333333,11.6,28,20.2,5.4,6,22,525.6407407,5707237.442,1577.626667,15.6,705.3,13.4,
41.2,4.2,1534.5,7,14.8,8551.8,13.6,67.7,10.3,6.9,0.9,145.7666667,12.03333333,30,17.4,6.3,7,23.5,583.05,6512759.587,1749.853333,16.53333333,787.85,13.55,
45.8,3.8,1695,8,15.2,9389.2,14.06666667,73.46666667,9.866666667,7.6,0.6,166.4,12.46666667,32,14.6,7.2,8,25,640.4592593,7318281.733,1922.08,17.46666667,870.4,13.7,
50.4,3.4,1855.5,9,15.6,10226.6,14.53333333,79.23333333,9.433333333,8.3,0.3,187.0333333,12.9,34,11.8,8.1,9,26.5,697.8685185,8123803.878,2094.306667,18.4,952.95,13.85,
55,3,2016,10,16,11064,15,85,9,9,0,207.6666667,13.33333333,36,9,9,10,28,755.2777778,8929326.024,2266.533333,19.33333333,1035.5,14,
232.9,3,1829.8,13.6,16.3,12769.5,17.7,91.2,9.6,14.1,0.3,238.4,19,38.1,8.4,9.7,10,27.5,852.7277778,14398456.68,2615.28,22.05714286,1031.35,13.9,
410.8,3,1643.6,17.2,16.6,14475,20.4,97.4,10.2,19.2,0.6,269.1333333,24.66666667,40.2,7.8,10.4,10,27,950.1777778,19867587.34,2964.026667,24.78095238,1027.2,13.8,
588.7,3,1457.4,20.8,16.9,16180.5,23.1,103.6,10.8,24.3,0.9,299.8666667,30.33333333,42.3,7.2,11.1,10,26.5,1047.627778,25336717.99,3312.773333,27.5047619,1023.05,13.7,
766.6,3,1271.2,24.4,17.2,17886,25.8,109.8,11.4,29.4,1.2,330.6,36,44.4,6.6,11.8,10,26,1145.077778,30805848.65,3661.52,30.22857143,1018.9,13.6,
944.5,3,1085,28,17.5,19591.5,28.5,116,12,34.5,1.5,361.3333333,41.66666667,46.5,6,12.5,10,25.5,1242.527778,36274979.31,4010.266667,32.95238095,1014.75,13.5,
1122.4,3,898.8,31.6,17.8,21297,31.2,122.2,12.6,39.6,1.8,392.0666667,47.33333333,48.6,5.4,13.2,10,25,1339.977778,41744109.96,4359.013333,35.67619048,1010.6,13.4,
1300.3,3,712.6,35.2,18.1,23002.5,33.9,128.4,13.2,44.7,2.1,422.8,53,50.7,4.8,13.9,10,24.5,1437.427778,47213240.62,4707.76,38.4,1006.45,13.3,
1478.2,3,526.4,38.8,18.4,24708,36.6,134.6,13.8,49.8,2.4,453.5333333,58.66666667,52.8,4.2,14.6,10,24,1534.877778,52682371.27,5056.506667,41.12380952,1002.3,13.2,
1656.1,3,340.2,42.4,18.7,26413.5,39.3,140.8,14.4,54.9,2.7,484.2666667,64.33333333,54.9,3.6,15.3,10,23.5,1632.327778,58151501.93,5405.253333,43.84761905,998.15,13.1,
1834,3,154,46,19,28119,42,147,15,60,3,515,70,57,3,16,10,23,1729.777778,63620632.59,5754,46.57142857,994,13,
1729.5,2.7,152.6,108.7,20.4,27086.9,49.5,172.4,15.66666667,86.9,8.1,522.6666667,81.5,64.2,3,15.4,9,23,1675.118519,59703980.71,5556.213333,62.65238095,941.05,12.6,
1625,2.4,151.2,171.4,21.8,26054.8,57,197.8,16.33333333,113.8,13.2,530.3333333,93,71.4,3,14.8,8,23,1620.459259,55787328.84,5358.426667,78.73333333,888.1,12.2,
1520.5,2.1,149.8,234.1,23.2,25022.7,64.5,223.2,17,140.7,18.3,538,104.5,78.6,3,14.2,7,23,1565.8,51870676.96,5160.64,94.81428571,835.15,11.8,
1416,1.8,148.4,296.8,24.6,23990.6,72,248.6,17.66666667,167.6,23.4,545.6666667,116,85.8,3,13.6,6,23,1511.140741,47954025.09,4962.853333,110.8952381,782.2,11.4,
1311.5,1.5,147,359.5,26,22958.5,79.5,274,18.33333333,194.5,28.5,553.3333333,127.5,93,3,13,5,23,1456.481481,44037373.21,4765.066667,126.9761905,729.25,11,
1207,1.2,145.6,422.2,27.4,21926.4,87,299.4,19,221.4,33.6,561,139,100.2,3,12.4,4,23,1401.822222,40120721.34,4567.28,143.0571429,676.3,10.6,
1102.5,0.9,144.2,484.9,28.8,20894.3,94.5,324.8,19.66666667,248.3,38.7,568.6666667,150.5,107.4,3,11.8,3,23,1347.162963,36204069.46,4369.493333,159.1380952,623.35,10.2,
