S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance
79.92,47.010000000000005,57.239999999999995,52.230000000000004,89.34,27.45,98.01,47.22,111.0,72.0,50.67,111.0,114.96000000000001,100.77000000000001,136.44,36.9,70.25750000000001,830.4256250000001
80.76,47.28,57.72,52.440000000000005,89.52,27.6,98.28,47.16,111.0,72.0,50.76,111.0,113.88000000000001,100.56,136.32,37.2,70.46000000000001,828.23
81.60000000000001,47.550000000000004,58.2,52.650000000000006,89.69999999999999,27.75,98.55000000000001,47.099999999999994,111.0,72.0,50.849999999999994,111.0,112.80000000000001,100.35,136.2,37.5,70.6625,826.034375
82.44000000000001,47.82000000000001,58.68,52.86,89.88,27.9,98.82000000000001,47.04,111.0,72.0,50.94,111.0,111.72,100.14,136.08,37.8,70.865,823.83875
83.28000000000002,48.09,59.16,53.07,90.06,28.05,99.09,46.98,111.0,72.0,51.03,111.0,110.64,99.93,135.96,38.1,71.0675,821.643125
84.12,48.36000000000001,59.64,53.28,90.24,28.2,99.36,46.919999999999995,111.0,72.0,51.12,111.0,109.56,99.72,135.84,38.4,71.27,819.4475
84.96000000000001,48.63,60.120000000000005,53.49,90.41999999999999,28.35,99.63000000000001,46.86,111.0,72.0,51.209999999999994,111.0,108.48,99.50999999999999,135.72,38.7,71.4725,817.2518749999999
85.80000000000001,48.900000000000006,60.6,53.7,90.6,28.5,99.9,46.8,111.0,72.0,51.3,111.0,107.4,99.3,135.6,39.0,71.675,815.05625
86.64000000000001,49.17,61.08,53.910000000000004,90.78,28.65,100.17,46.739999999999995,111.0,72.0,51.39,111.0,106.32000000000001,99.09,135.48,39.3,71.8775,812.860625
87.48,49.440000000000005,61.56,54.120000000000005,90.96,28.8,100.44,46.68,111.0,72.0,51.48,111.0,105.24000000000001,98.88,135.35999999999999,39.6,72.08,810.665
88.32000000000001,49.71000000000001,62.040000000000006,54.33,91.14,28.95,100.71000000000001,46.62,111.0,72.0,51.57,111.0,104.16,98.67,135.24,39.9,72.2825,808.469375
89.16000000000001,49.980000000000004,62.52,54.54,91.32,29.1,100.98,46.56,111.0,72.0,51.66,111.0,103.08,98.46,135.12,40.2,72.485,806.27375
90.0,50.25,63.0,54.75,91.5,29.25,101.25,46.5,111.0,72.0,51.75,111.0,102.0,98.25,135.0,40.5,72.6875,804.078125
90.84,50.52,63.480000000000004,54.96,91.68,29.4,101.52,46.44,111.0,72.0,51.84,111.0,100.92,98.04,134.88,40.8,72.89,801.8825
91.68,50.790000000000006,63.96000000000001,55.17,91.86,29.55,101.78999999999999,46.38,111.0,72.0,51.93,111.0,99.84,97.83,134.76,41.1,73.0925,799.686875
92.52000000000001,51.06,64.44,55.379999999999995,92.04,29.7,102.06,46.32,111.0,72.0,52.02,111.0,98.75999999999999,97.62,134.64000000000001,41.4,73.295,797.49125
93.36,51.33,64.92,55.589999999999996,92.22,29.85,102.33,46.260000000000005,111.0,72.0,52.11,111.0,97.67999999999999,97.41,134.52,41.7,73.4975,795.295625
94.2,51.6,65.4,55.8,92.4,30.0,102.6,46.2,111.0,72.0,52.2,111.0,96.6,97.2,134.4,42.0,73.7,793.1
95.04,51.870000000000005,65.88000000000001,56.01,92.58000000000001,30.15,102.86999999999999,46.14,111.0,72.0,52.290000000000006,111.0,95.52,96.99000000000001,134.28,42.3,73.9025,790.9043750000001
95.88,52.14,66.36,56.22,92.76,30.3,103.14,46.080000000000005,111.0,72.0,52.38,111.0,94.44,96.78,134.16,42.6,74.105,788.70875
96.72,52.41,66.84,56.43,92.94,30.45,103.41,46.02,111.0,72.0,52.47,111.0,93.36,96.57,134.04,42.9,74.3075,786.513125
97.56,52.68,67.32,56.64,93.12,30.6,103.67999999999999,45.96,111.0,72.0,52.56,111.0,92.28,96.36,133.92,43.2,74.51,784.3175
98.4,52.95,67.8,56.85,93.30000000000001,30.75,103.94999999999999,45.900000000000006,111.0,72.0,52.650000000000006,111.0,91.19999999999999,96.15,133.8,43.5,74.7125,782.121875
99.24,53.22,68.28,57.06,93.48,30.9,104.22,45.84,111.0,72.0,52.74,111.0,90.11999999999999,95.94,133.68,43.8,74.91499999999999,779.92625
100.08,53.489999999999995,68.75999999999999,57.27,93.66,31.05,104.49,45.78,111.0,72.0,52.83,111.0,89.03999999999999,95.72999999999999,133.56,44.1,75.11749999999999,777.7306249999999
100.92,53.76,69.24,57.480000000000004,93.84,31.2,104.75999999999999,45.72,111.0,72.0,52.92,111.0,87.96,95.52,133.44,44.4,75.32,775.535
101.75999999999999,54.03,69.71999999999998,57.690000000000005,94.02000000000001,31.35,105.03,45.660000000000004,111.0,72.0,53.010000000000005,111.0,86.88,95.31,133.32,44.7,75.5225,773.339375
102.6,54.3,70.19999999999999,57.900000000000006,94.2,31.5,105.3,45.6,111.0,72.0,53.1,111.0,85.8,95.1,133.2,45.0,75.725,771.14375
103.44,54.57,70.67999999999999,58.11000000000001,94.38,31.65,105.57,45.54,111.0,72.0,53.19,111.0,84.72,94.89,133.07999999999998,45.3,75.9275,768.948125
104.28,54.839999999999996,71.16,58.32000000000001,94.56,31.8,105.84,45.480000000000004,111.0,72.0,53.28,111.0,83.64,94.67999999999999,132.95999999999998,45.6,76.13,766.7524999999999
105.11999999999999,55.11,71.63999999999999,58.53,94.74000000000001,31.95,106.11,45.42,111.0,72.0,53.370000000000005,111.0,82.56,94.47,132.84,45.9,76.3325,764.556875
105.96,55.379999999999995,72.11999999999999,58.74,94.92,32.1,106.38,45.36,111.0,72.0,53.46,111.0,81.48,94.25999999999999,132.72,46.2,76.535,762.3612499999999
106.8,55.65,72.6,58.95,95.1,32.25,106.65,45.3,111.0,72.0,53.55,111.0,80.4,94.05,132.6,46.5,76.7375,760.165625
107.64,55.92,73.08,59.160000000000004,95.28,32.4,106.92,45.24,111.0,72.0,53.64,111.0,79.32,93.84,132.48,46.8,76.94,757.97
108.48,56.19,73.56,59.370000000000005,95.46000000000001,32.55,107.19,45.18,111.0,72.0,53.730000000000004,111.0,78.24,93.63,132.35999999999999,47.1,77.1425,755.774375
109.32,56.46,74.03999999999999,59.58,95.64,32.7,107.46,45.12,111.0,72.0,53.82,111.0,77.16,93.42,132.24,47.4,77.345,753.57875
110.16,56.73,74.52,59.79,95.82,32.85,107.73,45.06,111.0,72.0,53.91,111.0,76.08,93.21,132.12,47.7,77.5475,751.383125
