S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5,,,S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,
219,234,135,48,132,183,99,234,67,129,114,114,168,138,21,48,0,0,135.6666667,3831.022222,133.5,171,120.4444444,24,0,,460,0.003981818,0.004254545,0.002454545,0.000872727,0.0024,0.003327273,0.0018,0.004254545,0.001218182,0.002345455,0.002072727,0.002072727,0.003054545,0.002509091,0.000381818,0.002466667
216,102,141,84,135,207,99,285,117,117,114,81,207,195,78,36,30,0,145.2,3582.96,150,146.25,143.6666667,33,0,,470,0.003927273,0.001854545,0.002563636,0.001527273,0.002454545,0.003763636,0.0018,0.005181818,0.002127273,0.002127273,0.002072727,0.001472727,0.003763636,0.003545455,0.001418182,0.00264
285,150,219,39,96,171,118,285,117,96,66,60,174,297,108,93,90,42,152.0666667,6730.595556,162,159,146.7777778,91.5,42,,480,0.005181818,0.002727273,0.003981818,0.000709091,0.001745455,0.003109091,0.002145455,0.005181818,0.002127273,0.001745455,0.0012,0.001090909,0.003163636,0.0054,0.001963636,0.002764848
324,150,279,96,129,219,126,364,123,72,78,39,174,255,57,96,150,42,165.6666667,9486.222222,210,194.25,143.1111111,123,42,,490,0.005890909,0.002727273,0.005072727,0.001745455,0.002345455,0.003981818,0.002290909,0.006618182,0.002236364,0.001309091,0.001418182,0.000709091,0.003163636,0.004636364,0.001036364,0.003012121
264,174,258,171,339,180,126,237,132,36,48,51,118,225,69,66,150,0,161.8666667,7671.048889,217.5,237.75,115.7777778,108,0,,500,0.0048,0.003163636,0.004690909,0.003109091,0.006163636,0.003272727,0.002290909,0.004309091,0.0024,0.000654545,0.000872727,0.000927273,0.002145455,0.004090909,0.001254545,0.00294303
201,159,219,108,81,192,117,120,132,96,60,63,138,243,39,0,9,0,131.2,3496.16,154.5,162.75,112,4.5,0,,510,0.003654545,0.002890909,0.003981818,0.001963636,0.001472727,0.003490909,0.002127273,0.002181818,0.0024,0.001745455,0.001090909,0.001145455,0.002509091,0.004418182,0.000709091,0.002385455
195,192,72,39,18,126,72,171,97,96,162,123,81,96,63,18,27,0,106.8666667,2710.382222,117,102,106.7777778,22.5,0,,520,0.003545455,0.003490909,0.001309091,0.000709091,0.000327273,0.002290909,0.001309091,0.003109091,0.001763636,0.001745455,0.002945455,0.002236364,0.001472727,0.001745455,0.001145455,0.00194303
270,165,126,51,114,39,72,120,183,78,162,183,81,198,63,27,48,0,127,3987.2,160.5,111,126.6666667,37.5,0,,530,0.004909091,0.003,0.002290909,0.000927273,0.002072727,0.000709091,0.001309091,0.002181818,0.003327273,0.001418182,0.002945455,0.003327273,0.001472727,0.0036,0.001145455,0.002309091
111,81,126,9,150,60,126,120,183,51,105,117,45,180,51,45,198,0,101,2402,60,104.25,108.6666667,121.5,0,,540,0.002018182,0.001472727,0.002290909,0.000163636,0.002727273,0.001090909,0.002290909,0.002181818,0.003327273,0.000927273,0.001909091,0.002127273,0.000818182,0.003272727,0.000927273,0.001836364
117,225,162,27,78,150,135,123,109,36,261,51,45,177,30,18,186,0,115.0666667,4851.528889,72,153.75,107.4444444,102,0,,550,0.002127273,0.004090909,0.002945455,0.000490909,0.001418182,0.002727273,0.002454545,0.002236364,0.001981818,0.000654545,0.004745455,0.000927273,0.000818182,0.003218182,0.000545455,0.002092121
