S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5,,,S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,
27,9,54,0,18,39,27,111,45,54,25,105,9,18,0,0,57,0,36.06666667,1073.662222,13.5,30,43.77777778,28.5,0,,500,0.000818182,0.000272727,0.001636364,0,0.000545455,0.001181818,0.000818182,0.003363636,0.001363636,0.001636364,0.000757576,0.003181818,0.000272727,0.000545455,0,0.001092929
81,51,63,0,9,27,18,106,27,21,33,189,9,9,0,0,0,0,42.86666667,2405.315556,40.5,37.5,45.77777778,0,0,,510,0.002454545,0.001545455,0.001909091,0,0.000272727,0.000818182,0.000545455,0.003212121,0.000818182,0.000636364,0.001,0.005727273,0.000272727,0.000272727,0,0.00129899
90,96,54,9,9,18,111,48,27,51,33,94,22,108,0,0,0,0,51.33333333,1414.622222,49.5,44.25,54.88888889,0,0,,520,0.002727273,0.002909091,0.001636364,0.000272727,0.000272727,0.000545455,0.003363636,0.001454545,0.000818182,0.001545455,0.001,0.002848485,0.000666667,0.003272727,0,0.001555556
48,54,27,9,18,27,111,81,27,30,159,0,9,90,0,0,0,0,46,1954.4,28.5,31.5,56.33333333,0,0,,530,0.001454545,0.001636364,0.000818182,0.000272727,0.000545455,0.000818182,0.003363636,0.002454545,0.000818182,0.000909091,0.004818182,0,0.000272727,0.002727273,0,0.001393939
39,0,9,0,18,27,0,69,13,18,168,0,27,0,0,0,81,0,25.86666667,1788.382222,19.5,13.5,32.77777778,40.5,0,,540,0.001181818,0,0.000272727,0,0.000545455,0.000818182,0,0.002090909,0.000393939,0.000545455,0.005090909,0,0.000818182,0,0,0.000783838
21,39,0,45,0,0,0,66,0,49,168,0,18,0,0,0,81,9,27.06666667,1886.862222,33,9.75,33.44444444,40.5,9,,550,0.000636364,0.001181818,0,0.001363636,0,0,0,0.002,0,0.001484848,0.005090909,0,0.000545455,0,0,0.000820202
30,30,0,66,0,9,0,66,0,80,88,0,87,33,0,9,0,9,32.6,1163.573333,48,9.75,39.33333333,4.5,9,,560,0.000909091,0.000909091,0,0.002,0,0.000272727,0,0.002,0,0.002424242,0.002666667,0,0.002636364,0.001,0,0.000987879
57,18,18,42,0,18,0,48,69,111,0,0,87,9,0,9,0,0,31.8,1190.16,49.5,13.5,36,4.5,0,,570,0.001727273,0.000545455,0.000545455,0.001272727,0,0.000545455,0,0.001454545,0.002090909,0.003363636,0,0,0.002636364,0.000272727,0,0.000963636
18,18,18,21,9,57,0,48,9,0,9,0,52,9,0,0,0,0,17.86666667,347.0488889,19.5,25.5,14.11111111,0,0,,580,0.000545455,0.000545455,0.000545455,0.000636364,0.000272727,0.001727273,0,0.001454545,0.000272727,0,0.000272727,0,0.001575758,0.000272727,0,0.000541414
9,9,9,0,9,9,9,111,9,9,0,0,27,9,0,9,0,0,14.6,705.44,4.5,9,19.33333333,4.5,0,,590,0.000272727,0.000272727,0.000272727,0,0.000272727,0.000272727,0.000272727,0.003363636,0.000272727,0.000272727,0,0,0.000818182,0.000272727,0,0.000442424
9,9,18,0,0,30,9,51,9,33,9,0,18,0,0,9,0,0,13,207.2,4.5,14.25,14.33333333,4.5,0,,600,0.000272727,0.000272727,0.000545455,0,0,0.000909091,0.000272727,0.001545455,0.000272727,0.001,0.000272727,0,0.000545455,0,0,0.000393939
9,9,9,0,27,30,9,9,0,33,9,0,18,0,0,0,0,0,10.8,118.56,4.5,18.75,8.666666667,0,0,,610,0.000272727,0.000272727,0.000272727,0,0.000818182,0.000909091,0.000272727,0.000272727,0,0.001,0.000272727,0,0.000545455,0,0,0.000327273
